,username,location,following,followers,totaltweets,retweets,text,hashtags,time
78,MarkEricMoss,"North Carolina, USA",1206,193,4658,1,"US govt scientists, physicians are watching vaccine safety so carefully that they have been able to detect the rare ~1 in 200,000 allergic reactions and the ~7 in 1 million blood clots. The COVID vaccines are very safe! #COVID19 #CovidVaccine #coronavirus #Corona @ECUBrodySOM",[],2021-07-08 23:49:50
79,SDGovCrisis,"South Dakota, USA",729,582,5789,5,"Attention, South Dakotans:
🚗 Seat belts save lives. Click 'em. 
🏍️ Helmets save lives. Wear 'em.
💉 #Vaccines save lives. Get 'em. 

Thank you for coming to my #TedTalk. 
#SouthDakota #HiFromSD #SD 
#COVID19 #CovidIsNotOver #COVID #Coronavirus #CoronavirusPandemic #vaccinations",['Vaccines'],2021-07-08 23:48:49
80,susannahsirkin,Boston & New York City,1769,2819,7694,23,"As #covid cases skyrocket across #Bangladesh, the #Rohingya camps are at risk of becoming a hotspot, again. Deeply unequal global #vaccine rollouts mean 🇧🇩 continues to depend on lockdowns to deter spread. We need #vaccines now. #VaccineEquity.

https://t.co/169yqcrEdJ","['covid', 'Bangladesh', 'Rohingya']",2021-07-08 23:45:46
81,SamyAngel4o,"Melbourne, Victoria",4897,1261,250152,0,"Top story: @9NewsAUS: '“We've had a real problem with compliance, and we've got to sort that out.”

Prime Minister @ScottMorrisonMP responds to the announcement of 300,000 extra #coronavirus vaccines and 100 police offi… https://t.co/x8MczdhKCx, see more https://t.co/63wUhmQ85W",['coronavirus'],2021-07-08 23:42:49
82,feralartist,"Arizona, USA",2597,3027,247307,2,"Lives are on the line, and exposing these families to COVID-19 by locking them in jails without vaccines, sanitary protections, and proper social distancing messaging isn’t just irresponsible — it’s outright dangerous.

@ICEgov: #YouCantCageAVirus
https://t.co/mlpn4viY76",[],2021-07-08 23:39:01
83,WDTN,Dayton Ohio,477,68134,142072,0,"Experts have also suggested that since both Pfizer and Moderna are MRNA vaccines, Moderna likely will provide similar effectiveness to Pfizer against the Delta variant. https://t.co/1yuQkgGOiG",[],2021-07-08 23:38:50
84,Dr_Servoss,"Fayetteville, AR",698,675,6307,5,@JimHendren1 mRNA vaccines are new to us but the research that led to the COVID vaccines began 30 years ago. We have been building towards these safe and effective vaccines for a long time. https://t.co/MfK4olaPJH.,[],2021-07-08 23:37:15
85,jameskthompson1,"New Orleans, Louisiana, U.S.A",4998,2001,549305,234,"Five undervaccinated clusters are putting all of the US — and to some extent, the world — at risk for going back to 2020, since high-transmission areas can become breeding grounds for Covid-19 variants that could go on to evade coronavirus vaccines. https://t.co/EHKnKK6vU9",[],2021-07-08 23:37:15
86,karyfontaine,Texas,7167,6761,92205,129,"#COVID19 vaccines are safe and effective. Millions of people in the United States have received COVID-19 vaccines, and these vaccines have undergone the most intensive safety monitoring in U.S. history. More on COVID-19 vaccine safety: https://t.co/dtZHgQYUgN. https://t.co/TMZa658nzr",['COVID19'],2021-07-08 23:35:34
87,MertonMacB,London,899,994,2220,0,"@ukmfa1 @21WIRE It's still fairly low risk of serious myocardial side effects from #mRNA vaccines. 1 in 42000 if you're male under 40. Enough for a warning label. Not enough to halt Pfizer/Moderna vax programs.

(Eriksen, Danish footballer, was an unlucky public example.)
https://t.co/0CtAe9qUxa",['mRNA'],2021-07-08 23:35:17
88,NoMiSkye,🌎,571,555,185751,3,4/5: Vaccines ‘surest way to prevent deaths’ as Covid-19 toll hits 4 million https://t.co/IgC5kPjpQi,[],2021-07-08 23:35:08
89,DPleis,"Lancaster County, PA ",618,357,70327,30,"COVID-19 vaccines for children under age 12 could be ready by September

Thoughts about the coming school openings?

#FreshVoices #ONEV1 

https://t.co/fGWSRSUjxw https://t.co/JFmjPPub4e",[],2021-07-08 23:33:57
90,nakesha_horsey,"Louisiana, USA",1203,1795,434883,234,"Five undervaccinated clusters are putting all of the US — and to some extent, the world — at risk for going back to 2020, since high-transmission areas can become breeding grounds for Covid-19 variants that could go on to evade coronavirus vaccines. https://t.co/EHKnKK6vU9",[],2021-07-08 23:32:36
91,stephaniepiche,"Greater Sudbury / Grand Sudbury, Ontario",571,574,5602,2,There’s still time to join us at our walk-in clinic happening RIGHT NOW at Countryside Arena in #Sudbury! Walk-ins being accepted until 8 p.m. Up to (900) doses of Moderna available. https://t.co/u68tiHuIb7 https://t.co/rmVh5h0HoM,['Sudbury'],2021-07-08 23:31:32
92,viriyabot,Internet,3851,1184,689326,3,4/5: Vaccines ‘surest way to prevent deaths’ as Covid-19 toll hits 4 million https://t.co/IgC5kPjpQi,[],2021-07-08 23:31:02
93,SCMPNews,Hong Kong,307,804059,320890,3,4/5: Vaccines ‘surest way to prevent deaths’ as Covid-19 toll hits 4 million https://t.co/IgC5kPjpQi,[],2021-07-08 23:30:54
