Date,CountryName_x,CountryCode_x,Jurisdiction,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,Daily_cases,like_index,retweet_index,V1_Vaccine Prioritisation (summary),V2_Vaccine Availability (summary),V3_Vaccine Financial Support (summary),Daily_cases_previous,Daily_cases_next
23/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,14237078,386416,1236.4285714285652,2176.25641,535.6153846,0.0,0.0,0.0,59039.71428571428,57803.28571428572
24/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,14308215,389492,688.2857142857101,2176.25641,535.6153846,0.0,0.0,0.0,58991.71428571428,58303.42857142857
25/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,14340787,390797,1171.9285714285725,2176.25641,535.6153846,0.0,0.0,0.0,57988.5,56816.57142857143
26/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,14369423,391936,1027.0,2176.25641,535.6153846,0.0,0.0,0.0,57559.57142857143,56532.57142857143
27/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834614.871428564,0.0,0.0,0.0,0.0,14441563,395022,1202.7142857142899,2176.25641,535.6153846,0.0,0.0,0.0,58129.42857142857,56926.71428571428
28/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34476638.50714286,0.0,0.0,0.0,0.0,14521289,398185,742.8571428571449,1594.170732,311.7317073,0.0,0.0,0.0,57670.57142857143,56927.71428571428
29/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34476638.50714286,0.0,0.0,0.0,0.0,14590678,401186,-701.4285714285725,1594.170732,311.7317073,0.0,0.0,0.0,59685.0,60386.42857142857
30/4/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34476638.50714286,0.0,0.0,0.0,0.0,14659011,403781,107.5,1594.170732,311.7317073,0.0,0.0,0.0,60383.642857142855,60276.142857142855
1/5/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,14725975,406437,153.14285714285506,1594.170732,311.7317073,0.0,0.0,0.0,59833.142857142855,59680.0
2/5/2021,Brazil,BRA,NAT_TOTAL,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34476638.50714286,0.0,0.0,0.0,0.0,14754910,407639,1125.5,1594.170732,311.7317073,0.0,0.0,0.0,60285.92857142857,59160.42857142857
